Timestamp,Temperature,Humidity
20240826225602,21.30,47.10
20240826225632,21.40,47.50
20240826225702,21.40,47.70
20240826225732,21.40,47.50
20240826225802,21.40,47.30
20240826225832,21.40,47.30
20240826225902,21.40,47.20
20240826225932,21.40,47.50
20240826230002,21.40,47.30
20240826230032,21.40,47.10
20240826230102,21.40,47.00
20240826230132,21.40,47.00
20240826230202,21.40,47.10
20240826230232,21.30,47.00
20240826230302,21.40,47.00
20240826230332,21.40,46.90
20240826230402,21.40,46.80
20240826230432,21.40,46.80
20240826230502,21.40,46.70
20240826230532,21.40,46.60
20240826230602,21.40,46.60
20240826230632,21.40,46.50
20240826230702,21.40,46.50
20240826230732,21.40,46.40
20240826230802,21.30,46.30
20240826230832,21.40,46.30
20240826230902,21.40,46.20
20240826230932,21.30,46.20
20240826231002,21.30,46.10
20240826231032,21.30,46.10
20240826231103,21.30,46.70
20240826231133,21.30,49.00
20240826231203,21.40,50.30
20240826231233,21.40,49.80
20240826231303,21.40,49.70
20240826231333,21.50,49.00
20240826231403,21.50,48.50
20240826231433,21.50,48.10
20240826231503,21.50,47.80
20240826231533,21.50,47.70
20240826231603,21.50,47.70
20240826231633,21.50,47.40
20240826231703,21.50,47.20
20240826231733,21.50,47.00
20240826231803,21.50,46.90
20240826231833,21.50,46.70
20240826231903,21.50,46.70
20240826231933,21.40,46.60
20240826232003,21.40,46.70
20240826232033,21.40,46.70
20240826232103,21.40,46.80
20240826232133,21.40,46.90
20240826232203,21.40,46.90
20240826232233,21.40,46.90
20240826232303,21.40,46.90
20240826232333,21.50,46.80
20240826232403,21.50,46.80
20240826232433,21.50,46.80
20240826232503,21.50,46.80
20240826232533,21.50,46.90
20240826232603,21.50,46.90
20240826232633,21.50,46.90
20240826232703,21.50,46.90
20240826232733,21.50,46.80
20240826232803,21.50,46.80
20240826232833,21.50,46.80
20240826232903,21.50,46.70
20240826232933,21.50,46.70
20240826233003,21.50,46.70
20240826233033,21.50,46.60
20240826233103,21.60,46.70
20240826233133,21.50,46.50
20240826233203,21.50,46.50
20240826233233,21.60,46.60
20240826233303,21.60,46.50
20240826233333,21.60,46.60
20240826233403,21.60,46.60
20240826233433,21.60,46.60
20240826233503,21.60,46.60
20240826233533,21.60,46.60
20240826233603,21.60,46.60
20240826233633,21.60,46.60
20240826233703,21.60,46.60
20240826233733,21.60,46.40
20240826233803,21.60,46.30
20240826233833,21.60,46.30
20240826233903,21.60,46.30
20240826233933,21.60,46.20
20240826234003,21.60,46.20
20240826234033,21.60,46.20
20240826234103,21.60,46.20
20240826234133,21.60,46.20
20240826234203,21.60,46.20
20240826234233,21.60,46.20
20240826234303,21.60,46.20
20240826234333,21.60,46.20
20240826234403,21.60,46.10
20240826234433,21.60,46.10
20240826234503,21.60,46.10
20240826234533,21.60,46.20
20240826234603,21.60,46.20
20240826234633,21.60,46.20
20240826234703,21.60,46.20
20240826234733,21.60,46.20
20240826234803,21.60,46.20
20240826234833,21.60,46.20
20240826234903,21.60,46.30
20240826234933,21.60,46.30
20240826235003,21.60,46.40
20240826235033,21.60,46.30
20240826235103,21.60,46.40
20240826235133,21.60,46.40
20240826235203,21.60,46.50
20240826235233,21.60,46.60
20240826235303,21.60,46.60
20240826235333,21.60,46.70
20240826235403,21.60,46.80
20240826235433,21.60,46.90
20240826235503,21.60,46.90
20240826235533,21.60,47.00
20240826235603,21.60,47.00
20240826235633,21.60,47.00
20240826235703,21.60,47.10
20240826235733,21.60,47.10
20240826235803,21.60,47.20
20240826235833,21.60,47.10
20240826235903,21.60,47.10
20240826235933,21.60,47.00
20240827000003,21.60,46.90
20240827000033,21.60,46.80
20240827000103,21.60,46.80
20240827000133,21.60,46.80
20240827000203,21.60,46.70
20240827000233,21.60,46.70
20240827000303,21.60,46.70
20240827000333,21.60,46.70
20240827000403,21.60,46.80
20240827000433,21.60,47.30
20240827000503,21.60,47.80
20240827000533,21.60,48.10
20240827000603,21.60,48.50
20240827000633,21.60,48.90
20240827000703,21.60,49.20
20240827000733,21.60,49.30
20240827000803,21.60,49.50
20240827000833,21.60,50.00
20240827000903,21.60,50.00
20240827000933,21.60,50.00
20240827001003,21.60,50.00
20240827001033,21.60,50.00
20240827001103,21.50,50.00
20240827001133,21.60,50.00
20240827001203,21.50,50.00
20240827001233,21.50,50.00
20240827001303,21.60,50.00
20240827001333,21.50,50.00
20240827001403,21.50,50.00
20240827001433,21.50,50.00
20240827001503,21.50,49.60
20240827001533,21.50,49.30
20240827001603,21.50,49.10
20240827001633,21.50,48.90
20240827001703,21.50,48.80
20240827001734,21.50,48.70
20240827001804,21.50,48.70
20240827001834,21.50,48.60
20240827001904,21.50,48.60
20240827001934,21.50,48.50
20240827002004,21.50,48.50
20240827002034,21.50,48.40
20240827002104,21.50,48.30
20240827002134,21.50,48.30
20240827002204,21.50,48.20
20240827002234,21.50,48.20
20240827002304,21.50,48.20
20240827002334,21.50,48.10
20240827002404,21.50,48.10
20240827002434,21.50,48.00
20240827002504,21.50,48.00
20240827002534,21.50,48.00
20240827002604,21.50,48.00
20240827002634,21.50,48.10
20240827002704,21.50,48.10
20240827002734,21.50,48.20
20240827002804,21.50,48.20
20240827002834,21.50,48.20
20240827002904,21.50,48.20
20240827002934,21.50,48.20
20240827003004,21.50,48.20
20240827003034,21.50,48.30
20240827003104,21.50,48.40
20240827003134,21.50,48.40
20240827003204,21.50,48.50
20240827003234,21.50,48.60
20240827003304,21.50,48.60
20240827003334,21.50,48.70
20240827003404,21.50,48.60
20240827003434,21.50,48.60
20240827003504,21.50,48.50
20240827003534,21.50,48.50
20240827003604,21.50,48.40
20240827003634,21.50,48.30
20240827003704,21.50,48.30
20240827003734,21.50,48.30
20240827003804,21.50,48.30
20240827003834,21.50,48.40
20240827003904,21.40,48.40
20240827003934,21.50,48.50
20240827004004,21.50,48.60
20240827004034,21.50,48.60
20240827004104,21.40,48.50
20240827004134,21.40,48.70
20240827004204,21.40,48.90
20240827004234,21.50,49.10
20240827004304,21.40,49.20
20240827004334,21.40,49.20
20240827004404,21.40,49.30
20240827004434,21.40,49.30
20240827004504,21.40,49.20
20240827004534,21.50,49.30
20240827004604,21.40,49.10
20240827004634,21.40,49.10
20240827004704,21.40,49.00
20240827004734,21.40,49.00
20240827004804,21.40,48.90
20240827004834,21.40,48.80
20240827004904,21.40,48.80
20240827004934,21.40,48.70
20240827005004,21.40,48.70
20240827005034,21.40,48.70
20240827005104,21.40,48.70
20240827005134,21.40,48.70
20240827005204,21.40,48.70
20240827005234,21.40,48.80
20240827005304,21.40,48.80
20240827005334,21.40,48.80
20240827005404,21.40,48.80
20240827005434,21.40,48.80
20240827005504,21.40,48.80
20240827005534,21.40,48.90
20240827005604,21.50,49.00
20240827005634,21.40,49.00
20240827005704,21.40,49.00
20240827005734,21.40,49.00
20240827005804,21.40,49.00
20240827005834,21.40,49.00
20240827005904,21.40,48.90
20240827005934,21.40,48.90
20240827010004,21.40,48.80
20240827010034,21.40,48.70
20240827010104,21.40,48.70
20240827010134,21.40,48.70
20240827010204,21.40,48.70
20240827010234,21.40,48.70
20240827010304,21.40,48.60
20240827010334,21.40,48.60
20240827010404,21.40,48.60
20240827010434,21.40,48.50
20240827010504,21.40,48.50
20240827010534,21.40,48.50
20240827010604,21.40,48.50
20240827010634,21.40,48.50
20240827010704,21.40,48.50
20240827010734,21.40,48.50
20240827010804,21.40,48.50
20240827010834,21.40,48.50
20240827010904,21.40,48.50
20240827010934,21.40,48.60
20240827011004,21.40,48.60
20240827011034,21.40,48.50
20240827011104,21.40,48.50
20240827011134,21.40,48.50
20240827011204,21.40,48.60
20240827011234,21.40,48.60
20240827011304,21.40,48.70
20240827011334,21.40,48.70
20240827011404,21.40,48.70
20240827011434,21.40,48.70
20240827011504,21.40,48.70
20240827011535,21.40,48.80
20240827011605,21.40,48.90
20240827011635,21.40,49.00
20240827011705,21.40,48.90
20240827011735,21.40,48.90
20240827011805,21.50,48.90
20240827011835,21.40,48.70
20240827011905,21.40,48.70
20240827011935,21.40,48.60
20240827012005,21.40,48.50
20240827012035,21.40,48.40
20240827012105,21.40,48.40
20240827012135,21.40,48.40
20240827012205,21.40,48.30
20240827012235,21.40,48.30
20240827012305,21.40,48.20
20240827012335,21.40,48.20
20240827012405,21.40,48.20
20240827012435,21.40,48.20
20240827012505,21.40,48.20
20240827012535,21.40,48.10
20240827012605,21.40,48.10
20240827012635,21.40,48.00
20240827012705,21.40,48.00
20240827012735,21.40,48.00
20240827012805,21.40,48.00
20240827012835,21.40,47.90
20240827012905,21.40,47.90
20240827012935,21.40,47.90
20240827013005,21.40,47.90
20240827013035,21.40,47.90
20240827013105,21.40,48.00
20240827013135,21.40,48.00
20240827013205,21.40,48.00
20240827013235,21.40,48.00
20240827013305,21.40,48.00
20240827013335,21.40,48.00
20240827013405,21.40,48.10
20240827013435,21.40,48.00
20240827013505,21.40,48.00
20240827013535,21.40,47.90
20240827013605,21.40,47.90
20240827013635,21.40,47.90
20240827013705,21.40,47.90
20240827013735,21.40,47.80
20240827013805,21.40,47.80
20240827013835,21.40,47.90
20240827013905,21.40,47.90
20240827013935,21.40,47.90
20240827014005,21.40,47.90
20240827014035,21.40,48.10
20240827014105,21.40,48.10
20240827014135,21.40,48.30
20240827014205,21.40,48.40
20240827014235,21.40,48.50
20240827014305,21.40,48.60
20240827014335,21.40,48.70
20240827014405,21.40,48.70
20240827014435,21.40,48.80
20240827014505,21.40,48.90
20240827014535,21.40,48.90
20240827014605,21.40,48.80
20240827014635,21.30,48.70
20240827014705,21.30,48.70
20240827014735,21.40,48.70
20240827014805,21.30,48.70
20240827014835,21.30,48.70
20240827014905,21.30,48.70
20240827014935,21.30,48.60
20240827015005,21.40,48.70
20240827015035,21.30,48.60
20240827015105,21.30,48.60
20240827015135,21.30,48.70
20240827015205,21.30,48.70
20240827015235,21.30,48.60
20240827015305,21.30,48.60
20240827015335,21.30,48.60
20240827015405,21.30,48.60
20240827015435,21.30,48.60
20240827015505,21.30,48.60
20240827015535,21.30,48.60
20240827015605,21.30,48.50
20240827015635,21.30,48.50
20240827015705,21.30,48.50
20240827015735,21.30,48.40
20240827015805,21.30,48.30
20240827015835,21.30,48.20
20240827015905,21.30,48.20
20240827015935,21.30,48.10
20240827020005,21.30,48.10
20240827020035,21.30,48.20
20240827020105,21.30,48.20
20240827020135,21.30,48.20
20240827020205,21.30,48.30
20240827020235,21.30,48.30
20240827020305,21.30,48.40
20240827020335,21.30,48.40
20240827020405,21.30,48.40
20240827020435,21.30,48.40
20240827020505,21.30,48.40
20240827020535,21.30,48.40
20240827020605,21.30,48.30
20240827020635,21.30,48.30
